emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest,income_group,loan_to_income,credit_utilization_rate,debt_burden
10,TX,MORTGAGE,9.38,132000.0,12,233198,45502,57900,10000,5.31,301.11,A,9485.14,100.64,High,0.08,0.2,9.58
10,NM,MORTGAGE,20.27,62400.0,14,203855,16522,22700,9500,6.72,292.12,A,8291.95,249.0,Low,0.15,0.08,20.35
2,TX,RENT,14.48,66800.0,3,97530,88235,6000,40000,7.96,1252.72,A,37018.15,758.62,Low,0.6,0.9,15.38
0,NY,MORTGAGE,2.59,250000.0,7,803627,17789,87100,40000,5.31,1204.42,A,36904.08,493.74,High,0.16,0.02,2.61
10,NC,MORTGAGE,7.86,127200.0,5,293638,22845,600,5000,6.72,153.75,A,4364.17,129.19,High,0.04,0.08,7.94
10,CA,MORTGAGE,6.48,85000.0,12,484200,19468,55200,25000,6.08,761.46,A,21793.71,584.12,High,0.29,0.04,6.52
10,TX,MORTGAGE,7.85,100000.0,7,312995,26947,40000,18000,5.32,542.07,A,15668.06,373.09,High,0.18,0.09,7.94
10,FL,OWN,9.38,65000.0,11,97800,19580,91600,13000,7.35,403.49,A,11360.72,364.9,Low,0.2,0.2,9.58
10,NY,MORTGAGE,34.69,168000.0,27,991189,292935,214800,15000,6.07,456.81,A,13851.4,211.71,High,0.09,0.3,34.99
10,MA,RENT,17.71,69467.0,14,88672,50565,39500,22000,5.32,662.53,A,19724.94,368.56,Low,0.32,0.57,18.28
5,FL,MORTGAGE,3.51,55000.0,9,161511,3872,4800,7000,7.34,217.23,A,6473.55,119.53,Low,0.13,0.02,3.53
6,CA,RENT,18.41,50000.0,15,42729,18868,23000,18000,7.97,563.81,A,16205.18,452.45,Low,0.36,0.44,18.85
1,FL,RENT,8.68,300000.0,17,1016281,51220,22800,20000,6.71,614.9,A,17312.15,382.92,High,0.07,0.05,8.73
5,PA,RENT,15.91,45000.0,7,69770,14936,56600,7000,5.32,210.81,A,6093.1,129.57,Low,0.16,0.21,16.12
9,CO,MORTGAGE,24.32,97000.0,8,415603,46872,47900,35000,6.08,1066.04,A,31418.07,670.41,High,0.36,0.11,24.43
9,PA,OWN,10.02,86000.0,10,58600,28611,48500,14000,6.72,430.49,A,12219.72,366.94,High,0.16,0.49,10.51
10,MA,MORTGAGE,14.31,95000.0,29,118355,47581,35500,40000,7.97,1252.91,A,34997.78,1226.91,High,0.42,0.4,14.71
10,NY,RENT,19.43,42000.0,9,51991,24313,7500,3500,7.97,109.63,A,3151.01,87.98,Low,0.08,0.47,19.9
10,LA,MORTGAGE,30.45,61000.0,13,134307,33632,21200,1500,7.35,46.56,A,1310.83,43.02,Low,0.02,0.25,30.7
2,CA,MORTGAGE,9.7,150000.0,21,556495,83987,44800,5000,7.97,156.62,A,4501.41,125.68,High,0.03,0.15,9.85
10,TX,MORTGAGE,29.84,58000.0,23,271058,57138,70900,9800,6.08,298.5,A,8543.09,228.97,Low,0.17,0.21,30.05
8,TX,MORTGAGE,34.26,144000.0,23,555548,119593,132800,30000,6.72,922.48,A,25242.14,765.82,High,0.21,0.22,34.48
10,IN,MORTGAGE,10.67,35000.0,6,79500,10606,22500,5000,5.31,150.56,A,4612.99,63.19,Low,0.14,0.13,10.8
6,AZ,MORTGAGE,7.15,90000.0,11,187458,14871,26500,5000,6.72,153.75,A,4364.17,128.25,High,0.06,0.08,7.23
10,GA,MORTGAGE,9.78,39000.0,13,109693,14344,59100,9600,5.31,289.06,A,8607.11,160.52,Low,0.25,0.13,9.91
4,AK,RENT,15.27,90000.0,5,80384,53209,32500,36000,6.71,1106.81,A,33268.25,561.84,High,0.4,0.66,15.93
10,NJ,MORTGAGE,18.41,92000.0,17,336709,29973,63400,16000,5.31,481.77,A,14761.63,202.22,High,0.17,0.09,18.5
10,NY,RENT,22.72,80000.0,5,98860,37591,39300,20000,7.97,626.46,A,18005.74,502.72,High,0.25,0.38,23.1
10,AZ,MORTGAGE,13.15,169000.0,15,717920,68514,92700,25000,5.31,752.76,A,23065.06,308.59,High,0.15,0.1,13.25
5,IL,MORTGAGE,4.66,200000.0,11,620222,10393,119500,40000,5.31,1204.42,A,38972.58,165.2,High,0.2,0.02,4.68
7,CA,RENT,17.27,56000.0,12,207777,21316,11200,8300,6.07,252.77,A,7664.44,117.15,Low,0.15,0.1,17.37
10,OH,MORTGAGE,30.71,54000.0,10,179733,40920,37600,16000,7.97,501.17,A,13999.08,497.85,Low,0.3,0.23,30.94
0,CA,RENT,19.38,46080.0,5,41953,21097,0,15000,6.07,456.81,A,14236.2,144.76,Low,0.33,0.5,19.88
10,TX,MORTGAGE,19.95,77000.0,19,180433,33209,28500,10000,7.35,310.38,A,0.0,68.35,High,0.13,0.18,20.13
0,IL,MORTGAGE,16.93,100000.0,7,161205,56323,101600,25000,6.71,768.62,A,22876.29,416.97,High,0.25,0.35,17.28
0,OR,RENT,13.18,50000.0,11,65164,27217,24700,2000,6.07,60.91,A,1858.16,19.31,Low,0.04,0.42,13.6
10,TN,RENT,5.81,55000.0,8,87777,18176,57000,15000,5.31,451.66,A,14227.72,150.96,Low,0.27,0.21,6.02
10,TX,MORTGAGE,33.29,61000.0,14,251926,48473,20600,6000,7.96,187.91,A,5401.64,150.63,Low,0.1,0.19,33.48
6,WI,OWN,24.26,45000.0,13,77278,25323,23500,15000,6.72,461.24,A,13478.32,317.68,Low,0.33,0.33,24.59
4,CA,RENT,22.33,60000.0,22,176890,25858,128200,3000,5.31,90.34,A,2767.78,39.25,Low,0.05,0.15,22.48
7,MA,MORTGAGE,15.07,88000.0,23,552650,31683,74500,15000,5.32,451.73,A,13448.8,251.29,High,0.17,0.06,15.13
10,OH,MORTGAGE,22.27,120000.0,15,197484,95374,53300,8000,6.0,243.35,A,7179.49,152.72,High,0.07,0.48,22.75
10,LA,MORTGAGE,32.66,102000.0,17,281111,76885,55000,25000,6.08,761.46,A,22441.46,478.86,High,0.25,0.27,32.93
10,AR,RENT,23.46,50000.0,8,59240,31856,19300,6000,7.35,186.23,A,5396.56,136.58,Low,0.12,0.54,24.0
10,FL,MORTGAGE,18.71,183000.0,15,465105,121966,102200,7200,6.72,221.4,A,6469.57,148.45,High,0.04,0.26,18.97
10,OH,MORTGAGE,11.4,40000.0,15,107195,9348,21600,6000,6.07,182.73,A,5540.54,86.71,Low,0.15,0.09,11.49
4,ID,MORTGAGE,15.74,70000.0,11,260208,29352,20500,20000,6.07,609.08,A,18468.54,289.04,Low,0.29,0.11,15.85
6,NY,RENT,11.83,61400.0,9,45375,19154,17500,8000,6.07,243.63,A,7387.42,112.91,Low,0.13,0.42,12.25
9,ME,RENT,14.54,56160.0,6,42532,16841,24000,10000,7.34,310.33,A,9247.93,174.84,Low,0.18,0.4,14.94
1,FL,RENT,19.07,48000.0,8,54143,40513,8100,12000,7.97,375.88,A,10499.3,373.39,Low,0.25,0.75,19.82
0,VT,MORTGAGE,29.55,65000.0,26,416688,125273,100600,12000,7.97,375.88,A,10499.3,373.39,Low,0.18,0.3,29.85
6,CA,MORTGAGE,6.67,217000.0,18,833587,44402,64000,18000,6.08,548.25,A,6995.65,176.49,High,0.08,0.05,6.72
4,MI,RENT,7.02,80000.0,5,71512,12545,48500,25000,5.32,752.87,A,22414.72,418.81,High,0.31,0.18,7.2
6,NY,MORTGAGE,15.46,55000.0,9,174973,16229,10500,12500,7.35,387.97,A,11242.88,289.66,Low,0.23,0.09,15.55
10,TX,MORTGAGE,5.64,86000.0,4,145133,12635,16600,15000,5.31,451.66,A,14227.73,126.63,High,0.17,0.09,5.73
10,CA,MORTGAGE,18.27,50000.0,14,44560,27133,19500,10000,7.97,313.23,A,8749.43,311.15,Low,0.2,0.61,18.88
0,CT,MORTGAGE,8.46,120000.0,19,262282,61943,67400,15000,7.35,299.51,A,13949.55,440.98,High,0.12,0.24,8.7
1,FL,OWN,34.2,18000.0,8,46283,14773,15000,6000,7.35,186.23,A,5396.56,139.03,Low,0.33,0.32,34.52
8,MA,MORTGAGE,19.44,95000.0,9,439969,66449,115300,30000,5.32,903.45,A,26114.83,623.21,High,0.32,0.15,19.59
4,TX,OWN,12.13,73400.0,10,110188,28943,24900,6000,6.08,182.75,A,5230.49,140.19,High,0.08,0.26,12.39
10,NY,RENT,1.85,105000.0,5,32700,2679,8000,15000,7.34,465.5,A,13871.88,256.15,High,0.14,0.08,1.93
5,WI,MORTGAGE,14.34,137000.0,18,502437,66245,36100,16000,7.34,496.53,A,15200.23,180.24,High,0.12,0.13,14.47
10,MA,MORTGAGE,8.04,40000.0,4,81300,7604,26300,3625,5.32,109.17,A,3250.12,60.73,Low,0.09,0.09,8.13
4,MO,MORTGAGE,24.99,75000.0,20,212920,56363,27800,10000,5.32,301.15,A,8704.48,204.32,High,0.13,0.26,25.25
10,PA,MORTGAGE,15.64,120000.0,11,319260,33102,16500,5000,6.72,153.75,A,3134.77,97.4,High,0.04,0.1,15.74
0,CA,MORTGAGE,17.08,225000.0,20,423374,103535,69200,18000,6.07,548.17,A,17083.45,173.72,High,0.08,0.24,17.32
10,OR,MORTGAGE,18.85,65000.0,17,264145,24802,31200,12000,6.72,369.0,A,10782.62,263.1,Low,0.18,0.09,18.94
3,OH,MORTGAGE,10.14,38000.0,9,39300,21343,14400,3000,7.96,93.96,A,2776.34,56.89,Low,0.08,0.54,10.68
5,WI,OWN,18.39,27600.0,5,29693,7334,4000,6000,7.34,186.2,A,5548.75,104.9,Low,0.22,0.25,18.64
2,OK,MORTGAGE,34.51,65000.0,24,306466,88174,57200,25000,6.71,768.62,A,22463.51,519.35,Low,0.38,0.29,34.8
2,KY,MORTGAGE,10.29,85000.0,9,119703,56804,67500,20000,7.34,620.66,A,17988.33,462.81,High,0.24,0.47,10.76
5,MD,MORTGAGE,3.21,115000.0,6,221207,11691,55400,34100,6.72,1048.55,A,30640.72,709.46,High,0.3,0.05,3.26
1,MD,RENT,9.37,74000.0,11,190113,132468,51200,8000,6.07,243.63,A,7387.42,115.61,High,0.11,0.7,10.07
10,TX,MORTGAGE,10.98,39000.0,11,133138,26262,10600,3000,7.96,93.96,A,2851.39,36.66,Low,0.08,0.2,11.18
10,NJ,OWN,12.51,130000.0,10,73842,36906,60500,35000,6.08,1066.04,A,32320.35,506.65,High,0.27,0.5,13.01
10,TX,MORTGAGE,28.81,28000.0,24,82825,25522,57500,9000,7.97,281.91,A,8102.57,220.25,Low,0.32,0.31,29.12
10,MD,MORTGAGE,30.06,83500.0,17,509582,96556,72600,11200,7.97,226.94,A,0.0,37.19,High,0.13,0.19,30.25
6,FL,MORTGAGE,16.18,220000.0,21,611747,81264,72000,36000,6.08,1096.5,A,31382.95,859.37,High,0.16,0.13,16.31
2,PA,OWN,24.54,42000.0,11,60917,33892,16100,10800,7.35,335.21,A,9713.83,256.88,Low,0.26,0.56,25.1
0,AZ,RENT,1.03,64000.0,6,9000,914,3000,23000,6.72,707.24,A,0.0,34.34,Low,0.36,0.1,1.13
6,NY,MORTGAGE,8.09,185000.0,16,609847,37951,72900,40000,7.35,798.67,A,38328.8,708.48,High,0.22,0.06,8.15
2,NY,RENT,9.15,50000.0,7,28872,16231,13800,6500,6.08,197.98,A,5666.35,159.55,Low,0.13,0.56,9.71
10,IN,OWN,37.5,60000.0,6,149674,125272,16000,10000,7.35,310.38,A,8739.0,286.82,Low,0.17,0.84,38.34
7,TX,OWN,20.66,110000.0,22,220834,93192,81000,12000,6.07,365.45,A,11388.96,123.91,High,0.11,0.42,21.08
10,MA,MORTGAGE,10.05,72000.0,10,229928,16343,39400,35000,6.07,1065.88,A,32319.97,494.0,High,0.49,0.07,10.12
1,MN,MORTGAGE,8.35,52000.0,6,26000,12218,22700,10000,5.32,301.15,A,8965.88,167.52,Low,0.19,0.47,8.82
1,MA,RENT,15.56,25000.0,2,19910,15502,6000,3900,5.32,117.45,A,3496.69,64.18,Low,0.16,0.78,16.34
0,SC,RENT,6.08,75000.0,6,22400,14657,19900,15250,6.71,468.86,A,14092.78,208.31,High,0.2,0.65,6.73
10,IL,MORTGAGE,15.09,78000.0,8,185675,70405,22500,20000,6.72,614.99,A,17456.72,524.2,High,0.26,0.38,15.47
2,CA,RENT,4.51,46000.0,12,42232,41199,2000,1800,7.96,56.38,A,1665.79,33.34,Low,0.04,0.98,5.49
10,TX,MORTGAGE,8.24,190000.0,13,276981,45724,42600,12000,5.32,361.38,A,10759.06,197.49,High,0.06,0.17,8.41
3,TX,MORTGAGE,29.19,35000.0,21,342725,36173,28500,6000,6.71,184.47,A,5544.7,95.87,Low,0.17,0.11,29.3
1,TX,MORTGAGE,17.4,65000.0,15,364724,56174,15900,10200,6.72,313.65,A,8902.9,263.53,Low,0.16,0.15,17.55
2,IN,OWN,26.18,60000.0,19,254025,49966,86100,6000,6.07,182.73,A,5540.54,90.75,Low,0.1,0.2,26.38
10,NY,OWN,13.92,56000.0,15,114219,39071,55700,20000,7.34,620.66,A,18495.86,341.53,Low,0.36,0.34,14.26
8,TX,MORTGAGE,10.07,100000.0,17,244360,38889,34400,40000,6.71,1229.79,A,36964.71,721.19,High,0.4,0.16,10.23
3,NY,RENT,6.53,90000.0,16,65900,32898,38400,12000,5.32,361.38,A,9482.5,235.85,High,0.13,0.5,7.03
7,LA,MORTGAGE,23.06,105000.0,10,137325,33317,51500,28000,5.32,843.22,A,25104.47,460.8,High,0.27,0.24,23.3
1,CA,RENT,10.82,81000.0,7,71545,21923,57700,14000,7.34,279.47,A,13414.93,247.63,High,0.17,0.31,11.13
10,CA,MORTGAGE,30.69,115000.0,8,265449,189488,37400,12000,6.08,365.5,A,10771.91,225.8,High,0.1,0.71,31.4
10,IL,OWN,48.23,70000.0,16,313389,215482,63700,16000,6.08,487.34,A,13947.94,379.24,Low,0.23,0.69,48.92
10,TX,OWN,19.43,109000.0,15,186785,68319,26000,10000,6.07,304.54,A,9234.27,144.52,High,0.09,0.37,19.8
9,FL,MORTGAGE,19.32,110000.0,18,326649,40522,57800,25000,6.71,768.62,A,23738.83,257.43,High,0.23,0.12,19.44
3,MD,OWN,19.4,48000.0,5,60217,42547,0,14000,6.07,426.36,A,12826.68,201.04,Low,0.29,0.71,20.11
3,NV,MORTGAGE,13.06,60000.0,3,30500,17649,5000,10000,7.97,313.23,A,8749.43,306.72,Low,0.17,0.58,13.64
5,SC,RENT,6.22,250000.0,8,60510,23153,11300,24000,7.97,751.75,A,21606.89,603.26,High,0.1,0.38,6.6
10,CT,MORTGAGE,26.08,114000.0,13,1046085,261267,107000,30000,5.32,903.45,A,26113.44,621.82,High,0.26,0.25,26.33
0,VA,MORTGAGE,9.42,20000.0,5,15600,5334,13000,4000,7.34,124.14,A,3800.04,46.69,Low,0.2,0.34,9.76
0,KY,MORTGAGE,9.08,160000.0,9,87774,56931,22200,10000,6.08,304.59,A,8717.45,237.02,High,0.06,0.65,9.73
10,CA,RENT,29.4,60000.0,5,88084,49084,37700,32000,6.08,974.67,A,28725.07,602.13,Low,0.53,0.56,29.96
6,OH,MORTGAGE,14.99,145262.0,16,450152,110685,124400,17000,5.32,511.96,A,14797.59,352.37,High,0.12,0.25,15.24
10,NY,OWN,8.18,72000.0,30,254094,10573,155900,40000,6.08,1218.33,A,35906.37,745.91,High,0.56,0.04,8.22
0,LA,RENT,15.24,26000.0,14,32211,20370,16300,15000,7.97,469.84,A,13124.17,466.73,Low,0.58,0.63,15.87
3,OH,RENT,10.78,70000.0,11,45015,14358,13800,6000,6.07,182.73,A,5540.54,84.68,Low,0.09,0.32,11.1
3,IL,RENT,18.91,30000.0,6,33114,17768,14700,6400,6.71,196.77,A,6077.13,68.28,Low,0.21,0.54,19.45
1,PA,OWN,33.82,34000.0,6,53920,25392,15000,4900,7.97,153.49,A,4287.18,167.65,Low,0.14,0.47,34.29
10,NV,RENT,14.08,68000.0,13,84435,19289,41200,7000,6.08,213.21,A,6283.6,131.71,Low,0.1,0.23,14.31
10,NY,MORTGAGE,26.61,100000.0,13,372243,68354,16000,35000,7.96,1096.13,A,32390.88,648.31,High,0.35,0.18,26.79
10,MA,MORTGAGE,15.59,123000.0,30,575600,69071,119200,15000,6.72,461.24,A,13092.56,393.16,High,0.12,0.12,15.71
10,TN,MORTGAGE,20.36,86000.0,14,293789,58199,39900,16000,6.72,491.99,A,13965.39,419.37,High,0.19,0.2,20.56
10,CA,MORTGAGE,14.27,65000.0,12,259486,37160,8400,15000,7.96,469.77,A,11852.05,254.73,Low,0.23,0.14,14.41
2,WI,MORTGAGE,11.37,55000.0,14,273750,18396,41800,19000,7.34,379.28,A,18205.97,328.31,Low,0.35,0.07,11.44
3,MA,RENT,24.66,60000.0,9,226131,67509,13500,13000,7.34,403.43,A,0.0,217.22,Low,0.22,0.3,24.96
1,CA,OWN,5.26,59000.0,10,81024,67407,34000,9500,5.32,286.1,A,8517.55,133.88,Low,0.16,0.83,6.09
6,LA,MORTGAGE,18.62,75000.0,7,356854,35679,34400,12000,5.31,361.33,A,11382.18,101.3,High,0.16,0.1,18.72
10,MO,MORTGAGE,19.42,60000.0,19,207802,135723,42000,10000,7.35,310.38,A,0.0,168.24,Low,0.17,0.65,20.07
10,IL,MORTGAGE,25.73,70000.0,11,271396,48009,45500,25000,6.72,491.74,A,23581.18,538.81,Low,0.36,0.18,25.91
1,CT,RENT,13.29,48000.0,18,62427,17934,52700,12000,7.97,375.88,A,10803.42,301.63,Low,0.25,0.29,13.58
6,MO,OWN,4.83,82000.0,7,176418,12144,26500,9000,6.08,274.13,A,7845.71,216.36,High,0.11,0.07,4.9
7,CA,RENT,6.58,103000.0,8,124900,27381,64700,30000,7.35,931.13,A,0.0,647.13,High,0.29,0.22,6.8
1,FL,OWN,33.23,150000.0,18,566609,105380,63000,16500,6.07,502.49,A,15236.55,238.46,High,0.11,0.19,33.42
10,CT,MORTGAGE,15.47,185000.0,19,521686,78843,52500,23100,6.72,710.31,A,20756.61,489.23,High,0.12,0.15,15.62
9,FL,MORTGAGE,14.96,71422.0,9,213440,28523,17100,20000,7.97,626.46,A,17498.86,622.3,High,0.28,0.13,15.09
7,CT,RENT,19.58,33040.0,4,70041,19240,61000,11000,7.35,341.42,A,9612.89,288.55,Low,0.33,0.27,19.85
10,CA,RENT,17.36,69108.0,6,54357,26201,24000,10000,7.97,313.23,A,8339.05,331.77,Low,0.14,0.48,17.84
0,UT,RENT,17.65,24000.0,6,23200,13415,19200,10000,10.41,324.61,B,9280.21,248.26,Low,0.42,0.58,18.23
6,NJ,MORTGAGE,17.41,103000.0,24,413445,86343,40400,14000,9.44,293.62,B,13068.02,521.44,High,0.14,0.21,17.62
10,AZ,MORTGAGE,25.14,110000.0,12,447975,116928,27100,25000,10.42,536.36,B,23706.16,822.66,High,0.23,0.26,25.4
10,CA,RENT,25.8,40320.0,2,13400,4562,5000,8400,9.44,268.85,B,7370.07,309.91,Low,0.21,0.34,26.14
0,FL,RENT,32.44,54500.0,5,110574,75221,26400,15000,11.98,333.52,B,0.0,104.82,Low,0.28,0.68,33.12
1,MD,OWN,7.35,47000.0,10,28300,9474,11900,8000,9.92,257.84,B,7615.0,126.27,Low,0.17,0.33,7.68
2,GA,MORTGAGE,11.28,80400.0,10,265661,38474,35100,12000,10.41,257.4,B,11536.1,301.36,High,0.15,0.14,11.42
10,IL,MORTGAGE,7.27,180000.0,16,130108,18907,21700,20000,9.93,644.69,B,18059.32,627.05,High,0.11,0.15,7.42
7,CA,MORTGAGE,9.51,70000.0,8,232676,18696,15300,2500,9.43,80.01,B,2317.48,56.2,Low,0.04,0.08,9.59
0,TX,RENT,13.38,68000.0,11,54758,27882,20200,18000,9.93,381.83,B,16816.17,715.39,Low,0.26,0.51,13.89
10,NY,RENT,20.34,80000.0,4,48000,32309,10700,15000,9.44,480.08,B,13534.5,439.09,High,0.19,0.67,21.01
8,NY,RENT,15.95,152000.0,6,321662,58562,47000,21925,10.91,716.87,B,21925.0,0.0,High,0.14,0.18,16.13
6,CA,RENT,6.4,109688.0,8,59926,8018,35500,30000,11.99,667.19,B,28125.72,1441.69,High,0.27,0.13,6.53
2,IL,MORTGAGE,19.57,91000.0,8,392003,46564,24100,32000,11.98,711.5,B,30812.11,872.07,High,0.35,0.12,19.69
5,VA,MORTGAGE,30.94,84000.0,26,465132,264340,28700,4500,9.44,144.03,B,3948.24,162.49,High,0.05,0.57,31.51
4,WI,MORTGAGE,6.32,175000.0,12,478203,282203,58500,35000,10.41,750.73,B,33647.66,919.58,High,0.2,0.59,6.91
1,NV,MORTGAGE,8.27,80000.0,12,277672,22799,16600,40000,10.42,1298.59,B,35160.4,1607.04,High,0.5,0.08,8.35
2,IL,RENT,18.6,112914.0,6,247132,209838,43900,20000,9.44,419.46,B,18939.06,595.92,High,0.18,0.85,19.45
10,KS,MORTGAGE,24.97,61000.0,8,213722,40594,30300,10000,10.41,324.61,B,9522.22,159.87,Low,0.16,0.19,25.16
5,RI,RENT,16.71,58800.0,8,58092,47174,9300,9600,9.93,309.45,B,8593.33,295.54,Low,0.16,0.81,17.52
4,MD,RENT,19.83,30000.0,12,28042,10739,7700,1800,10.9,58.85,B,1671.34,46.8,Low,0.06,0.38,20.21
2,OH,MORTGAGE,28.26,75000.0,12,267524,66983,31800,20000,9.93,424.26,B,18684.61,794.88,High,0.27,0.25,28.51
7,CA,RENT,20.7,40000.0,10,67842,23828,22600,30000,9.93,636.38,B,28026.97,1175.77,Low,0.75,0.35,21.05
1,NV,MORTGAGE,32.0,42000.0,9,272403,47575,10100,10000,11.98,332.05,B,9296.37,285.86,Low,0.24,0.17,32.17
10,VA,OWN,16.11,120000.0,13,496784,90819,65000,3000,10.9,98.08,B,2785.57,77.99,High,0.02,0.18,16.29
9,IN,OWN,14.29,42000.0,2,23789,20406,0,2000,9.92,64.46,B,1855.03,46.21,Low,0.05,0.86,15.15
10,TX,MORTGAGE,17.42,88932.0,9,226673,41134,38300,14000,9.93,296.98,B,13079.24,556.42,High,0.16,0.18,17.6
10,KY,MORTGAGE,6.07,90000.0,6,199035,12843,4000,8500,10.42,275.96,B,7471.54,346.42,High,0.09,0.06,6.13
7,WA,MORTGAGE,13.89,80000.0,10,252881,55846,10000,15000,9.93,318.19,B,14013.48,583.74,High,0.19,0.22,14.11
0,TX,MORTGAGE,26.24,96996.0,10,86794,51474,25300,25000,10.9,817.29,B,23008.18,644.91,High,0.26,0.59,26.83
10,FL,MORTGAGE,15.22,100000.0,11,234105,28323,21000,17000,10.42,551.91,B,14943.12,682.99,High,0.17,0.12,15.34
5,WA,RENT,9.29,58000.0,8,31840,18847,5200,3000,9.44,96.02,B,2632.16,110.69,Low,0.05,0.59,9.88
5,IL,MORTGAGE,19.78,75000.0,11,496716,115133,26500,6000,11.99,199.26,B,5289.39,281.69,High,0.08,0.23,20.01
5,IL,MORTGAGE,25.64,30000.0,8,138002,16246,6500,15000,9.93,318.19,B,14214.05,470.26,Low,0.5,0.12,25.76
0,WA,MORTGAGE,10.99,56000.0,7,38258,27119,15200,7000,10.91,228.88,B,0.0,242.37,Low,0.12,0.71,11.7
2,CA,RENT,2.31,200000.0,3,13100,8829,5500,20000,9.44,640.1,B,18046.67,580.85,High,0.1,0.67,2.98
5,WA,MORTGAGE,26.42,85000.0,11,405181,70796,59800,20000,10.9,433.86,B,19236.53,526.0,High,0.24,0.17,26.59
10,NC,OWN,26.61,46000.0,22,118124,27923,52300,10000,9.44,209.73,B,9469.53,303.21,Low,0.22,0.24,26.85
5,FL,RENT,21.96,60000.0,15,67333,51092,12650,7200,10.42,233.75,B,6328.85,289.26,Low,0.12,0.76,22.72
5,OK,MORTGAGE,22.09,78000.0,14,201874,45560,21000,36000,9.93,763.66,B,33632.34,1410.92,High,0.46,0.23,22.32
10,OH,MORTGAGE,24.28,85441.0,18,276320,58827,18600,15000,10.91,490.45,B,13564.27,516.98,High,0.18,0.21,24.49
5,WA,RENT,25.99,35000.0,12,62103,51535,10800,5000,10.9,163.46,B,3980.41,118.57,Low,0.14,0.83,26.82
1,FL,RENT,12.35,36000.0,7,23861,13498,14000,5000,9.92,161.15,B,4598.08,114.87,Low,0.14,0.57,12.92
4,FL,RENT,11.02,70000.0,7,40529,16007,27900,5500,9.43,176.01,B,5098.49,127.97,Low,0.08,0.39,11.41
7,MN,MORTGAGE,21.28,98000.0,11,327629,89294,8000,8000,10.9,261.54,B,7428.22,208.0,High,0.08,0.27,21.55
3,OH,MORTGAGE,16.32,63000.0,11,344508,127479,17000,28800,9.44,604.01,B,26882.82,1087.77,Low,0.46,0.37,16.69
8,MD,RENT,23.04,69077.0,7,80140,43078,46500,40000,9.44,1280.2,B,35095.78,1454.82,Low,0.58,0.54,23.58
4,PA,RENT,12.3,60000.0,8,25822,8411,9300,3000,9.93,96.71,B,2782.56,71.03,Low,0.05,0.33,12.63
1,KY,MORTGAGE,29.8,36250.0,12,141255,35598,20400,9000,10.41,292.15,B,8132.49,290.68,Low,0.25,0.25,30.05
1,NJ,OWN,13.2,45000.0,11,28800,15992,20400,20000,11.98,444.69,B,19300.0,369.52,Low,0.44,0.56,13.76
3,VA,RENT,4.04,143000.0,3,39699,17872,9300,14000,9.44,448.07,B,12632.22,417.16,High,0.1,0.45,4.49
10,TX,MORTGAGE,7.96,100000.0,5,141450,16016,9000,20000,11.98,664.1,B,18592.74,571.73,High,0.2,0.11,8.07
10,VA,MORTGAGE,6.46,65000.0,5,13000,11278,9600,13500,10.42,438.28,B,11866.6,542.37,Low,0.21,0.87,7.33
1,MA,MORTGAGE,11.79,91000.0,8,45900,26868,23000,26650,9.44,852.94,B,23382.53,983.25,High,0.29,0.59,12.38
6,FL,MORTGAGE,13.89,90000.0,11,309058,51254,21900,35000,10.41,1136.11,B,33327.8,640.51,High,0.39,0.17,14.06
2,TX,RENT,25.32,50000.0,6,41794,18281,8100,3000,11.98,99.62,B,2788.9,85.76,Low,0.06,0.44,25.76
2,NC,MORTGAGE,11.08,179000.0,13,394839,73526,13300,12000,9.92,386.76,B,11130.17,293.76,High,0.07,0.19,11.27
6,NE,MORTGAGE,13.23,43000.0,10,30977,13474,15800,16000,11.99,355.84,B,15000.36,758.24,Low,0.37,0.43,13.66
10,MT,MORTGAGE,16.02,57000.0,8,179700,30329,44700,30000,10.42,643.63,B,28050.79,1234.21,Low,0.53,0.17,16.19
10,KY,MORTGAGE,12.67,152000.0,12,109547,52005,20000,21000,9.93,445.47,B,19618.86,817.25,High,0.14,0.47,13.14
2,MD,RENT,3.05,65000.0,2,10500,5872,2500,3800,9.92,122.48,B,2809.61,50.38,Low,0.06,0.56,3.61
8,NC,RENT,15.46,64000.0,6,39441,25894,10800,8000,10.91,261.57,B,7038.49,341.49,Low,0.12,0.66,16.12
10,CA,RENT,16.44,125000.0,14,106202,54494,26700,25000,9.44,800.13,B,22557.51,744.92,High,0.2,0.51,16.95
7,WA,MORTGAGE,17.83,98000.0,11,546050,56980,62750,6000,11.98,199.23,B,4894.78,130.33,High,0.06,0.1,17.93
3,CA,MORTGAGE,13.84,175000.0,10,533283,90958,33000,24000,9.93,773.63,B,21076.87,931.78,High,0.14,0.17,14.01
5,TX,MORTGAGE,22.26,35000.0,8,122484,31933,13300,10000,9.44,320.05,B,8773.94,368.95,Low,0.29,0.26,22.52
1,CA,RENT,20.76,80000.0,10,76546,25664,43200,9600,10.9,313.84,B,8913.89,249.6,High,0.12,0.34,21.1
6,NV,MORTGAGE,46.06,40250.0,11,135124,107852,18000,25000,9.93,805.86,B,22574.16,783.81,Low,0.62,0.8,46.86
1,NH,RENT,23.45,110000.0,10,99242,89497,22700,40000,11.99,1328.39,B,36229.06,1515.98,High,0.36,0.9,24.35
